Attraction,Event Name,Location (District/Place),Province No.,Venue,Month / Season,Duration,Type,Description / Source
Triyuga Bridge,Triyuga River Cultural Walk (proposed),Udayapur,1,Bridge Area,Spring,1 day,Cultural / Environmental,Awareness event linking culture and river conservation.
Rauta,Rauta Religious Mela (real),Udayapur,1,Rauta Bhagwati Temple,February,2 days,Religious,Annual worship event at Rauta Temple attracting hundreds.
Pipra,Pipra Maithil Festival (proposed),Saptari,2,School Ground,Autumn,1 day,Cultural,"Showcasing Maithil songs, dances, and cuisines."
Saptakoshi,Saptakoshi River Rafting Festival (proposed),Sunsari,1,Koshi Barrage Area,Winter,2 days,Adventure / Eco,Promoting river tourism and conservation activities.
Odraha,Odraha Cultural Night (proposed),Saptari,2,Village Area,Autumn,1 day,Cultural,Local celebration with folk songs and dances.
Sakhubani,Sakhubani Heritage Day (proposed),Saptari,2,Village Ground,Spring,1 day,Cultural,Awareness event to preserve local crafts and heritage.
Laxminarayan Temple,Laxminarayan Temple Mela (real),Saptari,2,Temple Premises,February,1 day,Religious,Pilgrimage fair with local vendors and music.
Fatepur,Fatepur Agro Expo (proposed),Sunsari,1,Open Field,Spring,2 days,Agro / Trade,Promoting organic crops and new farming technologies.
Sirwani,Sirwani Community Fair (proposed),Udayapur,1,Village Ground,Autumn,1 day,Cultural,Community gathering with sports and folk programs.
Sundarpur,Sundarpur Cultural Exhibition (proposed),Udayapur,1,Community Hall,Winter,2 days,Cultural,Folk art display and local cuisine festival.
Sirwani,Sirwani Rural Development Fair (proposed),Udayapur,1,Town Center,Spring,2 days,Trade / Cultural,Event promoting tourism and small business.
Bakdhauwa,Bakdhauwa Religious Festival (proposed),Saptari,2,Temple Premises,February,1 day,Religious,Devotional songs and rituals during Shivaratri season.
Jandaul,Jandaul Eco Tourism Day (proposed),Saptari,2,Village Area,Spring,1 day,Eco / Tourism,Local eco-tourism and homestay awareness event.
Mohanpur,Mohanpur Winter Fair (proposed),Saptari,2,Market Area,Winter,3 days,Trade / Cultural,Regional trade and folk art fair.
Mahuli Waterfall,Mahuli Adventure Trek Day (proposed),Udayapur,1,Waterfall Trail,Summer,1 day,Adventure / Eco,Adventure hike and photography event promoting eco-tourism.
Harna River,Harna River Clean-up Festival (proposed),Saptari,2,Riverbank,Monsoon,1 day,Eco / Environmental,Public awareness program for clean water conservation.
Jandaul ,Jandaul Folk Festival (proposed),Saptari,2,Village Ground,Autumn,1 day,Cultural,Community celebration of Tharu and Maithili traditions.
Krishnasavaran (Marauti) Temple,Marauti Krishna Janmashtami Mela (real/proposed),Saptari,2,Temple Premises,August,2 days,Religious,"Celebration of Lord Krishna’s birth with bhajans, rituals, and fairs."
Terahauta,Terahauta Rural Heritage Day (proposed),Saptari,2,Village Ground,Autumn,1 day,Cultural,"Folk songs, dances, and exhibition of local handicrafts."
Lohajara,Lohajara Eco-Forest Day (proposed),Saptari,2,Forest Edge,Spring,1 day,Eco / Environmental,Awareness event promoting reforestation and biodiversity.
Bengari,Bengari Cultural Fair (proposed),Saptari,2,School Ground,Winter,2 days,Cultural,Tharu and Maithil traditional performances with local food stalls.
Theliya,Theliya Rural Agro Expo (proposed),Saptari,2,Market Area,Spring,1 day,Agro / Trade,Farmers’ market showcasing agricultural tools and products.
Dhodhanpur,Dhodhanpur Community Festival (proposed),Saptari,2,Village Ground,Autumn,1 day,Cultural,"Local gathering for music, sports, and cultural unity."
Kamalpur,Kamalpur Fish & Water Festival (proposed),Saptari,2,Riverbank Area,Monsoon,1 day,Eco / Agro,Promoting fish farming and sustainable aquatic tourism.
Nargho,Nargho Folk Heritage Mela (proposed),Saptari,2,Village Center,Winter,2 days,Cultural,Traditional Maithili and Tharu folk showcases with crafts.
Fakira,Fakira Rural Arts Day (proposed),Siraha,2,Community Ground,Autumn,1 day,Cultural,"Promoting indigenous folk art, pottery, and songs."
Birpur Barahi,Birpur Barahi Temple Mela (real),Saptari,2,Temple Premises,March,2 days,Religious,Annual worship and cultural program around Barahi Temple.
Inarwa,Inarwa Religious Fair (proposed),Saptari,2,Temple Complex,February,1 day,Religious / Cultural,Local devotees gather for pooja and cultural performances.
Gobargada,Gobargada Folk Carnival (proposed),Saptari,2,Village Bazaar,Winter,2 days,Cultural,"Fair highlighting Tharu dance, songs, and cuisine."
Barsain,Barsain Chhath Mela (real),Saptari,2,Pond Premises,November,2 days,Religious,Thousands gather for Chhath Puja rituals at local pond.
Koiladi,Koiladi Eco-Cultural Fair (proposed),Saptari,2,Village Area,Spring,1 day,Eco / Cultural,Cultural celebration with environmental awareness activities.
Deehibar Temple at Kusha,Deehibar Religious Mela (real/proposed),Saptari,2,Temple Area,February,2 days,Religious,Annual worship event with devotional songs and fairs.
Dalwa Park,Dalwa Green Tourism Day (proposed),Saptari,2,Park Premises,Spring,1 day,Eco / Tourism,Promoting local eco-tourism and picnic activities.
Sakarpura,Sakarpura Community Festival (proposed),Saptari,2,Open Ground,Autumn,1 day,Cultural,"Folk sports, songs, and crafts exhibition."
Bishahariya,Bishahariya Temple Mela (real),Siraha,2,Temple Premises,August,1 day,Religious,Traditional worship of snake goddess with large local attendance.
Deurimaruwa,Deurimaruwa Agro-Food Fair (proposed),Saptari,2,Village Area,Spring,1 day,Agro / Cultural,Food and farm product exhibition with traditional cooking.
Farseth,Farseth Cultural Night (proposed),Saptari,2,School Ground,Winter,1 day,Cultural,Youth-led cultural programs and folk shows.
Rajbiraj,Rajbiraj Mahotsav (real),Saptari,2,Rajbiraj Bazaar,Winter,5 days,Trade / Cultural,"Major district festival with concerts, stalls, and local trade promotion."
Didhawa,Didhawa Village Cultural Fair (proposed),Saptari,2,Village Ground,Autumn,1 day,Cultural,"Folk dances, local food, and traditional songs."
Pakari,Pakari Eco Awareness Day (proposed),Saptari,2,Riverside / Village,Spring,1 day,Eco / Tourism,River clean-up and community nature activities.
Maleth,Maleth Agro & Handicraft Festival (proposed),Saptari,2,Market Area,Winter,2 days,Trade / Cultural,"Promoting local handicrafts, food, and agricultural produce."
Basbiti,Basbiti Folk Night (proposed),Saptari,2,Community Ground,Autumn,1 day,Cultural,"Evening of folk music, dance, and storytelling."
Rayapur,Rayapur Rural Fair (proposed),Saptari,2,Village Square,Winter,2 days,Cultural / Trade,"Local products, folk performances, and community gatherings."
Hariharpur,Hariharpur Temple Mela (real/proposed),Saptari,2,Temple Premises,February,1 day,Religious,Local temple worship with rituals and devotional music.
Prasabani,Prasabani Cultural Gathering (proposed),Saptari,2,Village Ground,Spring,1 day,Cultural,"Folk dances, local crafts exhibition, and food stalls."
Bishahariya,Bishahariya Snake Worship Fair (real),Siraha,2,Temple Area,August,1 day,Religious,Traditional worship of snake goddess with local rituals.
Deurimaruwa,Deurimaruwa Agro-Food Fair (proposed),Saptari,2,Village Area,Spring,1 day,Agro / Cultural,Farmers’ market and local food products exhibition.
Farseth,Farseth Cultural Night (proposed),Saptari,2,School Ground,Winter,1 day,Cultural,Youth-led cultural programs and folk performances.
Lahan,Lahan Trade & Cultural Mahotsav (real/proposed),Siraha,2,Lahan Bazaar,Winter,3 days,Trade / Cultural,"Regional fair with music, food, and trade stalls."
Govindpur Taregana,Govindpur Taregana Eco Day (proposed),Siraha,2,Village / Riverside,Spring,1 day,Eco / Adventure,Trekking and environmental awareness activities.
Chure Mai Mandir,Chure Mai Temple Mela (real/proposed),Siraha,2,Temple Premises,February,1 day,Religious,Local devotees gather for worship and cultural programs.
Hardiya,Hardiya Rural Fair (proposed),Siraha,2,Village Ground,Autumn,1 day,Cultural,Folk dance and handicraft exhibitions.
Kushaha,Kushaha Agro & Handicraft Mela (proposed),Siraha,2,Market Area,Spring,2 days,Trade / Cultural,Promoting local handicrafts and agricultural produce.
Pansera,Pansera Folk Festival (proposed),Siraha,2,Village Ground,Autumn,1 day,Cultural,"Music, dance, and local storytelling events."
Khojpur,Khojpur Eco & Trekking Day (proposed),Siraha,2,Hill Area,Spring,1 day,Adventure / Eco,Trekking and nature conservation activities.
Banarjhula,Banarjhula Religious Fair (real/proposed),Saptari,2,Temple Premises,February,1 day,Religious,Devotional rituals and local folk programs.
Malhanama,Malhanama Village Cultural Day (proposed),Siraha,2,Village Ground,Autumn,1 day,Cultural,"Folk dances, food stalls, and traditional performances."
Haripur,Haripur Community Mela (proposed),Saptari,2,Village Square,Winter,2 days,Cultural / Trade,"Local market, folk music, and handicrafts."
Tikuliya,Tikuliya Eco & Trek Day (proposed),Siraha,2,Village / Riverside,Spring,1 day,Eco / Adventure,Trekking and environmental awareness activities.
Sakhuwanankarkatti,Sakhuwanankarkatti Cultural Night (proposed),Siraha,2,Community Ground,Autumn,1 day,Cultural,Folk music and dance performances.
Itarhawa,Itarhawa Agro-Food Fair (proposed),Saptari,2,Market Area,Spring,2 days,Agro / Trade,"Exhibition of local food, crops, and handicrafts."
Nahara Rigoul,Nahara Rigoul Village Mela (proposed),Saptari,2,Village Ground,Autumn,1 day,Cultural,Local folk performances and community food fair.
Bhagwanpur,Bhagwanpur Temple Mela (real/proposed),Saptari,2,Temple Premises,February,1 day,Religious,Traditional worship with music and cultural activities.
Geruwaha,Geruwaha Folk Fair (proposed),Saptari,2,Village Ground,Winter,1 day,Cultural,"Folk music, dance, and handicraft display."
Sothiyan,Sothiyan Rural Festival (proposed),Saptari,2,Village Square,Autumn,1 day,Cultural,"Local games, dances, and cultural exhibitions."
Mauwahi,Mauwahi Village Mela (proposed),Saptari,2,Village Ground,Spring,1 day,Cultural,"Folk dances, food stalls, and handicrafts."
Mauwahi ,Mauwahi Eco Trek Day (proposed),Saptari,2,Riverside / Hill Trail,Spring,1 day,Eco / Adventure,"Trekking, nature awareness, and local eco-tourism promotion."
Kachanari,Kachanari Cultural Fair (proposed),Saptari,2,Community Ground,Autumn,1 day,Cultural,Folk performances and handicraft exhibitions.
Navarajpur,Navarajpur Agro & Trade Mela (proposed),Saptari,2,Market Area,Winter,2 days,Trade / Cultural,Promotion of local products and agricultural tools.
Majhaura,Majhaura Folk Festival (proposed),Saptari,2,Village Ground,Autumn,1 day,Cultural,"Folk music, dance, and traditional storytelling."
Kachanari,Kachanari Religious Day (proposed),Saptari,2,Temple Premises,February,1 day,Religious,Temple rituals and local devotional activities.
Khoksi,Khoksi Trade & Culture Fair (proposed),Sunsari,1,Market Area,Winter,3 days,Trade / Cultural,"Promoting local goods, food, and handicrafts."
Janakinagar,Janakinagar Community Mela (proposed),Saptari,2,Village Ground,Autumn,1 day,Cultural,"Folk dances, music, and local cuisine."
Bariyarpatti,Bariyarpatti Village Festival (proposed),Saptari,2,Village Ground,Winter,1 day,Cultural,Local cultural exhibition and traditional performances.
Tenuwapatti,Tenuwapatti Eco Awareness Day (proposed),Saptari,2,Riverside Area,Spring,1 day,Eco / Tourism,River cleaning and eco-tourism awareness event.
Gadha,Gadha Rural Fair (proposed),Saptari,2,Village Ground,Autumn,1 day,Cultural,"Folk dances, food stalls, and traditional storytelling."
Aurahi,Aurahi Religious Mela (real/proposed),Saptari,2,Temple Premises,February,1 day,Religious,Devotional rituals with cultural programs.
Aurahi Minor Shrine,Aurahi Minor Shrine Fair (proposed),Saptari,2,Shrine Premises,Winter,1 day,Religious,Community gathering for prayers and folk music.
Baba Haridwar Dham,Baba Haridwar Dham Religious Fair (real/proposed),Saptari,2,Temple Premises,February,2 days,Religious,Pilgrimage event with devotional songs and rituals.
Baba Taal,Baba Taal Eco & Cultural Day (proposed),Saptari,2,Taal / Lake Area,Spring,1 day,Eco / Cultural,Local fair promoting eco-tourism and cultural performances.
Barhathwa Heritage Street,Barhathwa Heritage Street Festival (proposed),Sarlahi,2,Street / Bazaar,Winter,2 days,Cultural / Trade,"Celebration of local heritage, traditional crafts, and street performances."
Bharat Lake,Bharat Lake Eco & Cultural Day (proposed),Parsa,2,Lake Premises,Spring,1 day,Eco / Cultural,Environmental awareness and local cultural performances around the lake.
Birgunj Heritage Sites,Birgunj Heritage Walk & Festival (proposed),Parsa,2,Heritage Sites,Winter,2 days,Cultural / Tourism,"Guided heritage walk, traditional music, and local food stalls."
Chhath Ghat (Sunsari),Sunsari Chhath Puja Mela (real),Sunsari,1,River Ghat,October,3 days,Religious,"Annual Chhath celebration with prayers, rituals, and folk music."
Chhinnamasta Riverbank Areas,Chhinnamasta Eco & Devotional Fair (proposed),Saptari,2,Riverbank Area,Monsoon,1 day,Religious / Eco,Rituals and river cleaning awareness event.
Chhinnamasta Temple,Chhinnamasta Temple Mela (real),Saptari,2,Temple Premises,November,2 days,Religious,"Pilgrimage fair with devotional songs, rituals, and local stalls."
Chhireshwor Temple,Chhireshwor Religious Fair (proposed),Bara,2,Temple Premises,February,1 day,Religious,Worship and devotional music performances.
Chitwan–Parsa Elephant Corridor,Elephant Corridor Eco Festival (proposed),Chitwan / Parsa,3,Corridor Area,Spring,1 day,Eco / Conservation,Awareness and eco-tourism promotion along the elephant corridor.
Chure Hills (Eastern Belt),Chure Hills Trekking & Eco Day (proposed),Sarlahi / Rautahat,2,Hill Area,Spring,1 day,Adventure / Eco,"Trekking, photography, and conservation awareness program."
Dhanushadham (Dhanusha),Dhanushadham Religious Mela (real/proposed),Dhanusha,2,Temple Premises,November,2 days,Religious,"Local pilgrimage event with rituals, devotional songs, and fairs."
Dhobi Tole (Janakpur),Dhobi Tole Cultural Evening (proposed),Dhanusha,2,Village Ground,Winter,1 day,Cultural,"Folk music, dance, and community activities."
Gadhi Mai Forest Area,Gadhi Mai Eco Trek (proposed),Bara,2,Forest / Trail,Spring,1 day,Eco / Adventure,Trekking event promoting forest conservation and eco-tourism.
Gadhi Mai Temple (Bara),Gadhi Mai Temple Mela (real),Bara,2,Temple Premises,December,3 days,Religious,Major festival attracting thousands for prayers and rituals.
Gadhimai Mela Ground,Gadhimai Maha Mela (real),Bara,2,Mela Ground,December,3 days,Religious / Cultural,Large religious and cultural fair with rituals and local markets.
Gamhariya Village,Gamhariya Village Folk Festival (proposed),Rautahat,2,Village Ground,Autumn,1 day,Cultural,"Traditional folk dances, songs, and handicraft exhibitions."
Gaur,Gaur Town Mahotsav (real/proposed),Rautahat,2,Town Square,Winter,2 days,Cultural / Trade,Trade and cultural fair promoting local businesses and traditions.
Gaur (Rautahat) Heritage Sites,Gaur Heritage Walk & Festival (proposed),Rautahat,2,Heritage Sites,Winter,2 days,Cultural / Tourism,"Guided walk, folk performances, and local food fairs."
Gaurighat Temple,Gaurighat Temple Mela (proposed),Rautahat,2,Temple Premises,February,1 day,Religious,"Local temple rituals, devotional songs, and community gathering."
Hariharpur Village,Hariharpur Rural Festival (proposed),Rautahat,2,Village Ground,Autumn,1 day,Cultural,"Folk performances, traditional sports, and community food fair."
Jagdamba Temple,Jagdamba Temple Mela (real/proposed),Bara,2,Temple Premises,February,1 day,Religious,Temple fair with devotional rituals and cultural performances.
Jaleshwar Dham,Jaleshwar Dham Maha Mela (real),Mahottari,2,Temple Premises,March,2 days,Religious / Cultural,Large pilgrimage festival with cultural programs and market stalls.
Jaleshwor Mahadev Temple,Jaleshwor Mahadev Fair (real),Mahottari,2,Temple Premises,February,1 day,Religious,Devotional rituals and local cultural performances.
Janaki Temple Minor Complex,Janaki Temple Cultural Fair (proposed),Dhanusha,2,Temple Complex,November,1 day,Religious / Cultural,"Cultural programs, worship rituals, and traditional food fair."
Janakpur Dham,Janakpur Dham Mahotsav (real),Dhanusha,2,Temple Premises,November,3 days,Religious / Cultural,Major festival celebrating goddess Sita with rituals and cultural shows.
Janakpur Ghats,Janakpur Ghat Cultural Evening (proposed),Dhanusha,2,River Ghats,Winter,1 day,Cultural,"Folk music, dance, and local food stalls along the riverbank."
Kachorwa,Kachorwa Village Fair (proposed),Saptari,2,Village Ground,Autumn,1 day,Cultural,"Folk dances, handicrafts, and community activities."
Kachorwa Tiny Ghat,Kachorwa Tiny Ghat Eco Day (proposed),Saptari,2,Riverbank,Spring,1 day,Eco / Adventure,Riverbank clean-up and eco-tourism awareness program.
Kachorwa Village,Kachorwa Heritage Day (proposed),Saptari,2,Village Ground,Winter,1 day,Cultural,Heritage preservation and local folk performances.
Kailashnath Mahadev Statue,Kailashnath Mahadev Festival (real),Makwanpur,3,Statue Premises,January,2 days,Religious / Cultural,Pilgrimage event with devotional rituals and local programs.
Kalyanpur Ghat,Kalyanpur Ghat Cultural Fair (proposed),Saptari,2,Riverbank,Autumn,1 day,Cultural,"Folk songs, dances, and community gathering."
Koshi Barrage,Koshi Barrage Eco Trek (proposed),Sunsari,1,Barrage Area,Spring,1 day,Adventure / Eco,"Trekking, bird-watching, and eco-awareness program."
Koshi Barrage Viewpoint,Koshi Barrage Viewpoint Festival (proposed),Sunsari,1,Viewpoint Area,Winter,1 day,Eco / Tourism,Nature photography and local culture awareness.
Lahan / Shambhunath Temple,Shambhunath Temple Mela (real/proposed),Siraha,2,Temple Premises,February,2 days,Religious,Local pilgrimage festival with devotional songs and rituals.
Laukaha Border Market,Laukaha Border Trade Festival,Siraha,2,Market Area,Winter,2 days,Trade / Cultural,"Promotes cross-border trade, local crafts, and folk performances."
Local Homestays & Village Experiences,Village Homestay Experience Day,Sarlahi,2,Village Homestays,Spring,1 day,Cultural / Tourism,"Showcases rural life, traditional food, and local activities."
Local Seasonal Festivals (Remote Villages),Seasonal Village Festival,Saptari,2,Village Grounds,Autumn,1 day,Cultural,Celebrations of seasonal agricultural and cultural traditions.
Madhesh Museum & Cultural Center,Madhesh Cultural Expo,Siraha,2,Museum / Cultural Center,Winter,2 days,Cultural / Educational,"Exhibitions of Mithila art, history, and local handicrafts."
Minor Ghats & River Confluences,Riverbank Cultural Day,Saptari,2,River Confluences,Summer,1 day,Cultural / Religious,Folk rituals and community gatherings along minor ghats.
Minor Heritage Sites,Heritage Walk & Fair,Sarlahi,2,Heritage Site,Winter,1 day,Cultural / Tourism,"Guided walk with traditional music, dance, and craft stalls."
Minor Village Temples (Sarlahi/Bara/Rautahat),Village Temple Festival,Bara,2,Village Temple Premises,February,1 day,Religious / Cultural,"Local rituals, devotional songs, and community activities."
Mithila Art Sites,Mithila Art Fair,Dhanusha,2,Art Gallery / Open Space,Spring,2 days,Cultural / Educational,Exhibition and live workshops of Mithila painting.
Mithila Cultural Park,Mithila Cultural Celebration,Dhanusha,2,Cultural Park,Winter,1 day,Cultural,"Folk dance, music, and cultural demonstrations."
Mithila Painting Workshop,Mithila Painting Workshop Day,Dhanusha,2,Art Center,Summer,1 day,Cultural / Educational,Hands-on workshop for tourists and local enthusiasts.
Parsa National Park,Parsa Wildlife & Eco Day,Parsa,2,Park Premises,Spring,1 day,Eco / Adventure,"Wildlife awareness, trekking, and conservation programs."
Pipara (Historical Site),Pipara Heritage Festival,Parsa,2,Historical Site,Winter,1 day,Cultural / Educational,"Guided historical tours, cultural performances, and local crafts."
Rajdevi Temple,Rajdevi Temple Mela,Rautahat,2,Temple Premises,March,2 days,Religious,"Devotional rituals, folk songs, and community fair."
Ram Janaki Temple,Ram Janaki Temple Festival,Dhanusha,2,Temple Premises,November,2 days,Religious,Pilgrimage celebration with cultural programs and local stalls.
Raxaul / Bhitthamore Border,Cross-Border Trade & Cultural Fair,Parsa / India,2,Border Market,Winter,2 days,Trade / Cultural,Promotes bilateral trade and cultural exchange.
Raxaul Border / Bhitthamore Market,Raxaul-Bhitthamore Trade Day,Parsa / India,2,Market Area,Winter,1 day,Trade,"Local trade, food stalls, and small cultural shows."
Sakhuwa Mahadev Temple,Sakhuwa Mahadev Temple Mela,Saptari,2,Temple Premises,February,1 day,Religious,Worship rituals and devotional cultural programs.
Salhesh Botanical Garden,Salhesh Eco & Culture Day,Saptari,2,Botanical Garden,Spring,1 day,Eco / Cultural,Awareness program on flora conservation with local cultural shows.
Sarlahi,Sarlahi District Cultural Festival,Sarlahi,2,District Grounds,Autumn,2 days,Cultural / Trade,"Folk performances, handicraft stalls, and local food exhibitions."
Sarlahi Minor Cultural Site,Sarlahi Heritage Day,Sarlahi,2,Heritage Site,Winter,1 day,Cultural,"Showcasing local traditions, folk songs, and dances."
Shivala Temple,Shivala Temple Mela,Dhanusha,2,Temple Premises,February,1 day,Religious,Local devotees celebrate with rituals and cultural programs.
Shivala Temple (Dhanusha),Shivala Religious Gathering,Dhanusha,2,Temple Grounds,February,1 day,Religious,Community gathering with devotional songs and rituals.
Simraungadh,Simraungadh Historical & Cultural Fair,Bara,2,Historical Sites,Winter,2 days,Cultural / Tourism,"Guided tours, folk music, and local crafts exhibition."
Sirsia Bird Sanctuary,Bird Watching & Eco Day,Saptari,2,Sanctuary Area,Spring,1 day,Eco / Adventure,"Bird watching, eco-awareness, and photography."
Small Wetlands & Ponds (Saptari/Dhanusha),Wetland Eco Day,Saptari / Dhanusha,2,Wetland / Pond Area,Monsoon,1 day,Eco / Adventure,"Cleaning, bird watching, and eco-tourism activities."
Tharu Villages,Tharu Cultural Festival,Saptari,2,Village Ground,Autumn,2 days,Cultural,"Folk dance, music, handicrafts, and traditional cuisine."
Tilathi Ghat,Tilathi Ghat Religious & Cultural Day,Saptari,2,Riverbank,Summer,1 day,Religious / Cultural,Pilgrimage rituals with cultural performances.
Tilathi–Koilabas Border Village,Border Village Fair,Saptari,2,Village Ground,Winter,1 day,Cultural,"Trade, folk performances, and community interaction."
Tulsipur Cultural Center,Tulsipur Cultural Week,Saptari,2,Cultural Center,Winter,3 days,Cultural,"Folk arts, music, and local educational exhibitions."
Chhinnamasta Riverbank Areas,Chhinnamasta Riverbank Mela,Saptari,2,Riverbank,Monsoon,1 day,Religious / Eco,Rituals along riverbank combined with environmental awareness.
Tulsipur Cultural Center,Tulsipur Folk & Eco Day,Saptari,2,Cultural Center,Spring,1 day,Cultural / Eco,Eco-awareness campaigns with folk music and local performances.
Small Wetlands & Ponds (Saptari/Dhanusha),Pond Conservation Day,Saptari / Dhanusha,2,Wetlands / Pond,Monsoon,1 day,Eco,Community program for wetland cleaning and biodiversity awareness.
Birgunj Heritage Sites,Birgunj Heritage Walk & Cultural Day,Parsa,2,Heritage Sites,Winter,1 day,Cultural / Tourism,Heritage walk with folk performances and artisan stalls.
Dhobi Tole / Cultural Street,Dhobi Tole Street Festival,Dhanusha,2,Street / Bazaar,Winter,1 day,Cultural,"Street performances, local food, and handicraft exhibitions."
Madhesh Museum & Cultural Center,Madhesh Museum Annual Fair,Siraha,2,Museum / Cultural Center,Winter,2 days,Cultural,"Exhibitions of Mithila art, folk dances, and history."
Tharu Villages,Tharu Folk & Agro Festival,Saptari,2,Village Ground,Autumn,2 days,Cultural / Agro,"Folk performances, handicraft stalls, and agricultural showcases."
Sakhuwa Mahadev Temple,Sakhuwa Mahadev Temple Annual Mela,Saptari,2,Temple Premises,February,1 day,Religious,"Devotional rituals, folk music, and cultural gatherings."
Salhesh Fulbari,Salhesh Fulbari Flower & Eco Festival,Saptari,2,Botanical Garden,Spring,1 day,Eco / Cultural,"Flower exhibition, environmental awareness, and local culture."
Bharat Lake,Bharat Lake Eco & Cultural Day,Parsa,2,Lake Premises,Spring,1 day,Eco / Cultural,Nature conservation awareness combined with cultural programs.
Bariyarpur Historical Sites,Bariyarpur Heritage Walk & Fair,Saptari,2,Heritage Sites,Winter,1 day,Cultural / Tourism,Guided heritage walk with local folk performances and handicraft stalls.
Laukaha Border Market,Laukaha Border Trade Festival,Siraha,2,Market Area,Winter,2 days,Trade / Cultural,"Promotes cross-border trade, local crafts, and folk performances."
Kachorwa Tiny Ghat,Kachorwa Tiny Ghat Eco & Ritual Day,Saptari,2,Riverbank,Spring,1 day,Religious / Eco,Rituals combined with riverbank cleaning and eco-awareness.
Gamhariya Village,Gamhariya Village Folk Festival,Rautahat,2,Village Ground,Autumn,1 day,Cultural,"Traditional dances, local food stalls, and handicraft exhibitions."
Kalyanpur Ghat,Kalyanpur Ghat Cultural & Religious Day,Saptari,2,Riverbank,Summer,1 day,Religious / Cultural,Pilgrimage rituals with folk performances and local gatherings.
Rajdevi Temple,Rajdevi Temple Mela,Rautahat,2,Temple Premises,March,2 days,Religious,"Devotional rituals, local fairs, and folk performances."
Tilathi Ghat,Tilathi Ghat Religious & Cultural Day,Saptari,2,Riverbank,Summer,1 day,Religious / Cultural,"Pilgrimage rituals, folk music, and local cuisine exhibition."
Shivala Temple,Shivala Temple Mela,Dhanusha,2,Temple Premises,February,1 day,Religious,Devotional rituals with local cultural programs.
Chure Hills (Eastern Belt),Chure Hills Eco & Trek Day,Sarlahi / Rautahat,2,Hill Area,Spring,1 day,Adventure / Eco,"Trekking, photography, and conservation awareness program."
Tilathi–Koilabas Border Village,Border Village Fair,Saptari,2,Village Ground,Winter,1 day,Cultural,"Trade, folk performances, and community interaction."
Simraungadh,Simraungadh Historical & Cultural Fair,Bara,2,Historical Sites,Winter,2 days,Cultural / Tourism,"Guided tours, folk performances, and local crafts exhibition."
Sarlahi Minor Cultural Site,Sarlahi Heritage Day,Sarlahi,2,Heritage Site,Winter,1 day,Cultural,"Folk music, dances, and local tradition showcase."
Dhanushadham (Dhanusha),Dhanushadham Temple Mela,Dhanusha,2,Temple Premises,November,2 days,Religious,Pilgrimage festival with devotional songs and cultural programs.
Chinnamasta Bhagawati Temple,Chinnamasta Temple Festival,Saptari,2,Temple Premises,November,2 days,Religious / Cultural,"Rituals, riverbank ceremonies, and folk performances."
Sarlahi,Sarlahi District Cultural Festival,Sarlahi,2,District Grounds,Autumn,2 days,Cultural / Trade,"Folk performances, handicrafts, and local food exhibitions."
Laukaha Border Market (Siraha),Siraha Border Trade & Cultural Fair,Siraha,2,Market Area,Winter,2 days,Trade / Cultural,"Promotes cross-border trade, folk shows, and local cuisine stalls."
Tulsipur Cultural Center (Mahottari),Tulsipur Cultural Week,Mahottari,2,Cultural Center,Winter,3 days,Cultural,"Folk arts, music, and local educational exhibitions."
Sakhuwa Mahadev Temple (Sarlahi),Sakhuwa Mahadev Temple Annual Mela,Sarlahi,2,Temple Premises,February,1 day,Religious,"Devotional rituals, folk music, and cultural gatherings."
Birgunj Heritage Sites (Parsa),Birgunj Heritage Walk & Cultural Day,Parsa,2,Heritage Sites,Winter,1 day,Cultural / Tourism,Heritage walk with folk performances and artisan stalls.
Bardibas,Bardibas Cultural & Trade Fair,Mahottari,2,Market Area,Winter,2 days,Cultural / Trade,"Local products, folk performances, and community gathering."
Laxminiya,Laxminiya Village Festival,Mahottari,2,Village Ground,Autumn,1 day,Cultural,"Folk music, dance, and handicraft exhibitions."
Belgachhi,Belgachhi Folk & Eco Day,Dhankuta,1,Village Ground,Spring,1 day,Cultural / Eco,Eco-awareness activities and traditional cultural programs.
Hathilet,Hathilet Rural Festival,Sarlahi,2,Village Square,Autumn,1 day,Cultural,"Folk performances, food stalls, and traditional games."
Dhalkebar,Dhalkebar Trade & Cultural Fair,Dhanusha,2,Market Area,Winter,2 days,Trade / Cultural,"Promotes local trade, folk shows, and handicrafts."
Batauwa,Batauwa Village Folk Festival,Sarlahi,2,Village Ground,Autumn,1 day,Cultural,"Traditional music, dance, and local food exhibition."
Bharatpur,Bharatpur Eco & Cultural Day,Chitwan,3,Park / Public Area,Spring,1 day,Eco / Cultural,Environmental awareness with cultural performances.
Fulakaha,Fulakaha Religious & Cultural Day,Sarlahi,2,Temple / Village Ground,Winter,1 day,Religious / Cultural,Local temple rituals and folk performances.
Birgunj,Birgunj Trade & Cultural Week,Parsa,2,Bazaar / Heritage Sites,Winter,3 days,Trade / Cultural,"Local trade, cultural shows, and handicraft exhibitions."
Motisar,Motisar Village Fair,Bara,2,Village Ground,Autumn,1 day,Cultural,"Folk dances, traditional food stalls, and local crafts."
Bhatauda,Bhatauda Eco & Cultural Festival,Parsa,2,Village / Riverside,Spring,1 day,Eco / Cultural,Environmental awareness and folk performances.
Kalaiya,Kalaiya Cultural & Trade Fair,Bara,2,Market Area,Winter,2 days,Cultural / Trade,"Local trade, folk shows, and community activities."
